subtab_change,Change,涨跌幅,,,
common_bottom,Its the bottom ~,到底咯~,,,
common_pull_refresh,Pull down to refresh,下拉刷新,,,
fav_search,Tap to search and add your favorite assets,点击搜索并添加币种到收藏列表,,,
common_price,Price,价格,,,
coin_price,Price ({{Value}}),价格({{Value}}),,,
data_from,Data comes from Coinmarketcap,数据来源于Coinmarketcap,,,
span_1d,1d,1天,,,
span_7d,1w,1周,,,
span_1month,1m,1月,,,
span_3m,3m,3月,,,
span_1y,1 y,1年,,,
span_all,All,所有,,,
month_jan,Jan.,一月,,,
month_feb,Feb.,二月,,,
month_mar,Mar.,三月,,,
month_apr,Apr.,四月,,,
month_may,May.,五月,,,
month_jun,Jun.,六月,,,
month_jul,Jul.,七月,,,
month_aug,Aug.,八月,,,
month_sept,Sept.,九月,,,
month_oct,Oct.,十月,,,
month_nov,Nov.,十一月,,,
month_dec,Dec.,十二月,,,
search_hint,Enter coin name,输入币种名称,,,
ticker_no_result,No results for {{value}},搜索{{value}}无结果,,,
noti_income,Income Notification,入账通知,,,
noti_common,Notice,提示,,,
noti_warning,System Warning,系统警示,,,
settings_auth_info,Identity Verification,身份认证,,,
auth_china,China,中国,,,
auth_type,Type of Certificate,证件类型,,,
auth_idcard,ID Card,身份证,,,
auth_idps_number,ID or Passport Number,身份证或护照号,,,
auth_enter_number,Enter your ID number,输入证件号码,,,
identity_verified,Verified,已认证,,,
identity_unverified,Unverified,未认证,,,
identity_veried,Identity Verified,认证成功,,,
failed_try_again,"Identity Verification failed, please try again",身份认证失败，请重试,,,
send_tips_verify,Please complete identity verification before sending your assets to others,请先完成身份认证，再进行转账交易,,,
settings_verify_tips,Please complete identity verification before sending your assets to others,完成身份认证，即可开始转账交易,,,
add_fav,Add Your Favorites,添加收藏,,,
contact_us,Contact Us,联系我们,,,
info_basic,Basic Info,基础信息,,,
auth_verified,Verified,已验证,,,
auth_verified_tips,Your Identity information has been verified,您的身份信息已经验证,,,
auth_verified_idphoto,ID Photo,证件照片,,,
personal_take_photo,Take Photo,拍照,,,
personal_choose_photo,Choose from Album,从相册选取,,,
camera_none_access,Fingo does not have access to your Camera,Fingo没有相机权限,,,
album_none_access,Fingo does not have access to  your Camera Roll,Fingo没有相册权限,,,
settings_auth_info,Identity Verification,身份认证,,,
auth_china,China,中国,,,
auth_type,Type of Certificate,证件类型,,,
auth_idcard,ID Card,身份证,,,
